"class","manufacturer","model","displ","cyl","trans","drv","cty","hwy","fl","G","T","S","twodoor.p","twodoor.l","fourdoor.p","fourdoor.l","hatch.p","hatch.l","eng.dscr","trans.dscr","year","vpc","bidx","x5c","eng.dscr.1","eng.dscr.2"
"standard pickup trucks 4wd","ford","ranger ffv - 4wd",3,6,"manual(m5)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ra4fv30m5g","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","ford","ranger pickup 4wd",4,6,"auto(l5)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.00e-04","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","ford","ranger pickup 4wd",4,6,"manual(m5)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.00e-04","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","k1500 sierra 4wd",4.3,6,"auto(l4)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","k1500 sierra 4wd",4.3,6,"manual(m5)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","k1500 sierra 4wd",4.8,8,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","k1500 sierra 4wd",4.8,8,"manual(m5)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","k1500 sierra 4wd",5.3,8,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","sonoma 4wd",4.3,6,"auto(l4)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","gmc","sonoma 4wd",4.3,6,"manual(m5)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","isuzu","hombre pickup 4wd",4.3,6,"auto(l4)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","isuzu","hombre pickup 4wd",4.3,6,"manual(m5)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b3000 ffv - 4wd",3,6,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"b34fv30e4g","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b3000 ffv - 4wd",3,6,"auto(l4)","4",10,13,"e",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"b34fv30e4e","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b3000 ffv - 4wd",3,6,"manual(m5)","4",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"b34fv30m5g","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b3000 ffv - 4wd",3,6,"manual(m5)","4",11,15,"e",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"b34fv30m5e","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b3000 ffv - 4wd",3,6,"manual(m5)","4",11,15,"e",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ra4fv30m5e","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b4000   4wd",4,6,"auto(l5)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.00e-04","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","mazda","mazda b4000   4wd",4,6,"manual(m5)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.00e-04","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","nissan","frontier truck 4wd",2.4,4,"manual(m5)","4",16,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","nissan","frontier truck v6-4wd",3.3,6,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","nissan","frontier truck v6-4wd",3.3,6,"manual(m5)","4",15,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,2,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tacoma 4wd",2.7,4,"auto(l4)","4",17,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tacoma 4wd",2.7,4,"manual(m5)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tacoma 4wd",3.4,6,"auto(l4)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode clkup",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tacoma 4wd",3.4,6,"manual(m5)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tundra 4wd",3.4,6,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tundra 4wd",3.4,6,"manual(m5)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"standard pickup trucks 4wd","toyota","toyota tundra 4wd",4.7,8,"auto(l4)","4",13,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"vans, cargo type","chevrolet","astro 2wd (cargo)",4.3,6,"auto(l4)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","chevrolet","astro awd (cargo)",4.3,6,"auto(l4)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","chevrolet","g1500/2500 chevy van 2wd",4.3,6,"auto(l4)","r",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","chevrolet","g1500/2500 chevy van 2wd",5,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","chevrolet","g1500/2500 chevy van 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","dodge","b1500 van 2wd",3.9,6,"auto(l3)","r",14,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,2,NA,NA,NA,NA
"vans, cargo type","dodge","b1500 van 2wd",5.2,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","dodge","b1500 van 2wd",5.9,8,"auto(l4)","r",11,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","dodge","b2500 van 2wd",5.2,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","dodge","b2500 van 2wd",5.9,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e150 econoline 2wd",4.2,6,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.2e-r","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e150 econoline 2wd",4.6,8,"auto(l4)","r",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.6e-r","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e150 econoline 2wd",5.4,8,"auto(l4)","r",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"5.4e-r","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e250 econoline 2wd",4.2,6,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.2e-r","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e250 econoline 2wd",5.4,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"5.4e-r","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","ford","e250 econoline 2wd",5.4,8,"auto(l4)","r",11,14,"c",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ngv","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","gmc","g1500/2500 savana 2wd cargo",4.3,6,"auto(l4)","r",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","gmc","g1500/2500 savana 2wd cargo",5,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","gmc","g1500/2500 savana 2wd cargo",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","gmc","safari 2wd (cargo)",4.3,6,"auto(l4)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, cargo type","gmc","safari awd (cargo)",4.3,6,"auto(l4)","4",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","chevrolet","astro 2wd (passenger)",4.3,6,"auto(l4)","r",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","chevrolet","astro awd (passenger)",4.3,6,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","chevrolet","g1500/2500 chevy express 2wd",4.3,6,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","chevrolet","g1500/2500 chevy express 2wd",5,8,"auto(l4)","r",13,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","chevrolet","g1500/2500 chevy express 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","dodge","b1500 wagon 2wd",3.9,6,"auto(l3)","r",13,15,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,2,NA,NA,NA,NA
"vans, passenger type","dodge","b1500 wagon 2wd",5.2,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","dodge","b2500 wagon 2wd",5.2,8,"auto(l4)","r",11,14,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","dodge","b2500 wagon 2wd",5.9,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","ford","e150 club wagon",4.2,6,"auto(l4)","r",13,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.2e-r","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","ford","e150 club wagon",4.6,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.6e-r","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","ford","e150 club wagon",5.4,8,"auto(l4)","r",11,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"5.4e-r","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","gmc","g1500/2500 savana passenger",4.3,6,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","gmc","g1500/2500 savana passenger",5,8,"auto(l4)","r",13,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","gmc","g1500/2500 savana passenger",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","gmc","safari 2wd (passenger)",4.3,6,"auto(l4)","r",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"vans, passenger type","gmc","safari awd (passenger)",4.3,6,"auto(l4)","4",14,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","postal vehicle",4,6,"auto(l5)","r",15,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ex2us40e5g","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","volkswagen","eurovan camper",2.8,6,"auto(l4)","f",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","chevrolet","venture fwd",3.4,6,"auto(l4)","f",17,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","chrysler","town & country 2wd",3.3,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ffv","clkup",2000,2,NA,NA,NA,NA
"minivan","chrysler","town & country 2wd",3.3,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","chrysler","town & country 2wd",3.8,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",2.4,4,"auto(l3)","f",18,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",3.3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ffv","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",3.3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",3.8,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan 2wd",3.8,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","vmode clkup",2000,2,NA,NA,NA,NA
"minivan","ford","windstar fwd cargo van",3,6,"auto(l4)","f",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"3.0w-f","clkup",2000,2,NA,NA,NA,NA
"minivan","ford","windstar fwd cargo van",3.8,6,"auto(l4)","f",16,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"3.8e-f","clkup",2000,2,NA,NA,NA,NA
"minivan","ford","windstar fwd wagon",3,6,"auto(l4)","f",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"3.0w-f","clkup",2000,2,NA,NA,NA,NA
"minivan","ford","windstar fwd wagon",3.8,6,"auto(l4)","f",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"3.8e-f","clkup",2000,2,NA,NA,NA,NA
"minivan","honda","odyssey",3.5,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"sohc-vtec","",2000,4,NA,NA,NA,NA
"minivan","mazda","mpv",2.5,6,"auto(l4)","f",16,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,4,NA,NA,NA,NA
"minivan","mercury","villager fwd wagon",3.3,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"3.3n-f","clkup",2000,2,NA,NA,NA,NA
"minivan","nissan","quest",3.3,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","oldsmobile","silhouette fwd",3.4,6,"auto(l4)","f",17,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","plymouth","voyager 2wd",2.4,4,"auto(l3)","f",18,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"minivan","plymouth","voyager 2wd",3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","plymouth","voyager 2wd",3.3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","plymouth","voyager 2wd",3.3,6,"auto(l4)","f",16,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"ffv","clkup",2000,2,NA,NA,NA,NA
"minivan","plymouth","voyager 2wd",3.8,6,"auto(l4)","f",15,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","pontiac","montana fwd",3.4,6,"auto(l4)","f",17,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","toyota","sienna",3,6,"auto(l4)","f",16,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"minivan","volkswagen","eurovan",2.8,6,"auto(l4)","f",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","chrysler","town & country awd",3.8,6,"auto(l4)","4",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan awd",3.8,6,"auto(l4)","4",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"minivan","dodge","caravan awd",3.8,6,"auto(l4)","4",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","vmode clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","blazer 2wd",4.3,6,"auto(l4)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","blazer 2wd",4.3,6,"manual(m5)","r",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","c1500 suburban 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","c1500 tahoe 2wd",4.8,8,"auto(l4)","r",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","c1500 tahoe 2wd",4.8,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"police","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","c1500 tahoe 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","tracker 2wd convertible",1.6,4,"manual(m5)","r",22,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","tracker 2wd convertible",2,4,"auto(l4)","r",21,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode 2lkup",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","tracker 2wd convertible",2,4,"manual(m5)","r",21,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","tracker 2wd hardtop",2,4,"auto(l4)","r",21,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode 2lkup",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","chevrolet","tracker 2wd hardtop",2,4,"manual(m5)","r",21,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","dodge","durango 2wd",4.7,8,"auto(l4)","r",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","dodge","durango 2wd",5.2,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","dodge","durango 2wd",5.9,8,"auto(l4)","r",11,16,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","expedition 2wd",4.6,8,"auto(l4)","r",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.6e-r","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","expedition 2wd",5.4,8,"auto(l4)","r",11,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"5.4e-r","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",4,6,"auto(l5)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.0e-r","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",4,6,"auto(l5)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"sohc","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",4,6,"auto(l5)","r",15,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"exp4x2ffvg","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",4,6,"auto(l5)","r",10,12,"e",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"exp4x2ffve","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",4,6,"manual(m5)","r",16,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"4.0e-r","",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","ford","explorer 2wd",5,8,"auto(l4)","r",13,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"5.0e-r","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","c1500 yukon 2wd",4.8,8,"auto(l4)","r",14,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","c1500 yukon 2wd",4.8,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"police","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","c1500 yukon 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","c1500 yukon xl 2wd",5.7,8,"auto(l4)","r",13,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","jimmy 2wd",4.3,6,"auto(l4)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","gmc","jimmy 2wd",4.3,6,"manual(m5)","r",15,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","sil",2000,2,NA,NA,NA,NA
"s.u.v. - 2wd","honda","cr-v(2wd)",2,4,"auto(l4)","f",19,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","honda","passport 2wd",3.2,6,"auto(l4)","r",15,20,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"v-6","2mode clkup",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","honda","passport 2wd",3.2,6,"manual(m5)","r",15,19,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"v-6","sil",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","isuzu","amigo 2wd",2.2,4,"manual(m5)","r",18,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"l-4","sil",2000,4,NA,NA,NA,NA
"s.u.v. - 2wd","isuzu","amigo 2wd",3.2,6,"auto(l4)","r",15,17,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"v-6","2mode clkup",2000,4,NA,NA,NA,NA
